vehicle_id,stop_time,dep_time,arr_time,drive_time,occupancy
194,600,202730,207788,5058,0
191,600,202057,207840,5783,0
199,600,201955,207912,5957,2
58,600,203489,208017,4528,0
83,600,193273,208030,14757,1
95,600,205309,208060,2751,0
141,600,203789,208129,4340,1
132,600,205290,208143,2853,0
147,600,204207,208164,3957,0
197,600,206059,208235,2176,0
76,600,203960,208277,4317,1
133,600,204414,208361,3947,0
38,600,204130,208399,4269,0
164,600,204990,208429,3439,1
174,600,207153,208480,1327,1
88,600,203720,208590,4870,0
78,600,203111,208590,5479,1
187,600,203052,208644,5592,0
62,600,203836,208766,4930,1
57,600,193248,208836,15588,1
121,600,200873,208840,7967,1
197,600,208835,208920,85,1
7,600,206430,208928,2498,0
94,600,195860,208960,13100,1
196,600,203305,208984,5679,1
1,600,198443,209059,10616,1
157,600,202260,209150,6890,0
113,600,204360,209153,4793,0
75,600,203649,209161,5512,2
90,600,203529,209164,5635,0
193,600,204649,209171,4522,2
41,600,206413,209178,2765,0
158,600,207644,209243,1599,1
160,3219,206349,209327,2978,2
197,267,209187,209405,218,1
24,600,205620,209440,3820,0
71,600,207274,209480,2206,0
82,600,205970,209509,3539,0
148,600,204948,209584,4636,0
43,600,201170,209677,8507,1
105,600,203300,209699,6399,0
124,600,205941,209700,3759,2
92,600,206074,209733,3659,2
97,600,202121,209759,7638,1
108,600,204928,209776,4848,1
12,600,206986,209861,2875,2
96,600,206253,209872,3619,1
87,600,206530,209919,3389,0
163,600,207171,209980,2809,1
37,600,206320,209984,3664,1
135,600,204553,209990,5437,1
101,600,206134,210057,3923,0
195,600,207229,210104,2875,0
31,162,202362,210120,7758,1
166,600,206831,210120,3289,2
47,600,205361,210148,4787,0
29,600,205565,210279,4714,1
167,600,207506,210420,2914,2
128,600,206390,210478,4088,0
116,600,203557,210522,6965,1
136,600,207575,210540,2965,1
152,0,207230,210667,3437,1
176,600,204110,210714,6604,0
185,600,202796,210815,8019,1
126,600,206454,210830,4376,1
165,600,208850,210899,2049,0
71,600,210080,210960,880,1
124,17,209717,210985,1268,2
161,238,205138,211014,5876,1
83,600,208630,211053,2423,0
18,600,203590,211115,7525,0
